"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30029","Verify require field","chromium","2026-07-09","broken","2026-07-09","","google/login.spec.ts","",""
"","1175","has title","firefox","2026-07-09","passed","2026-07-09","","example.spec.ts","",""
"","364","has title","chromium","2026-07-09","passed","2026-07-09","","example.spec.ts","",""
"","392","get started link","chromium","2026-07-09","passed","2026-07-09","","example.spec.ts","",""
"","30074","Verify require field","firefox","2026-07-09","broken","2026-07-09","","google/login.spec.ts","",""
"","731","get started link","firefox","2026-07-09","passed","2026-07-09","","example.spec.ts","",""
